feature_set,model,n_features,accuracy,balanced_accuracy,f1,roc_auc
fingerprint,random_forest_200,1024,0.9298245614035088,0.8064285714285715,0.6923076923076923,0.9430357142857143
combined,random_forest_200,1034,0.9385964912280702,0.8114285714285714,0.72,0.9423214285714286
fingerprint,random_forest_500,1024,0.9254385964912281,0.7117857142857142,0.5853658536585366,0.9316071428571429
combined,gradient_boosting_lr005,1034,0.9166666666666666,0.7067857142857142,0.5581395348837209,0.9313392857142857
rdkit_2d_preprocessed,gradient_boosting_lr005,9,0.9166666666666666,0.7067857142857142,0.5581395348837209,0.9050892857142857
fingerprint,logreg_l2_c01,1024,0.9254385964912281,0.8346428571428571,0.7017543859649122,0.90375
combined,logreg_l2_c01,1034,0.9298245614035088,0.8525,0.7241379310344828,0.9021428571428571
rdkit_2d_preprocessed,svm_rbf,9,0.868421052631579,0.8328571428571429,0.5945945945945946,0.9003571428571429
rdkit_2d_kbest,svm_rbf,7,0.8859649122807017,0.8275,0.6176470588235294,0.8975
combined,logreg_l2_c1,1034,0.9429824561403509,0.86,0.7636363636363637,0.8941071428571428
fingerprint,logreg_l2_c1,1024,0.9166666666666666,0.8142857142857143,0.6666666666666666,0.89375
rdkit_2d,svm_rbf,10,0.8552631578947368,0.8253571428571429,0.5714285714285714,0.8926785714285714
rdkit_2d,gradient_boosting_lr01,10,0.9122807017543859,0.735,0.5833333333333334,0.8870535714285714
rdkit_2d,mlp_small,10,0.9078947368421053,0.7171428571428571,0.5531914893617021,0.8764285714285716
rdkit_2d_preprocessed,random_forest_200,9,0.9210526315789473,0.7246428571428571,0.5909090909090909,0.8739285714285714
rdkit_2d_kbest,mlp_small,7,0.9254385964912281,0.7424999999999999,0.6222222222222222,0.8733928571428571
rdkit_2d,random_forest_200,10,0.9122807017543859,0.7042857142857143,0.5454545454545454,0.86375
rdkit_2d,logreg_l2_c01,10,0.7894736842105263,0.7878571428571428,0.4782608695652174,0.8400000000000001
rdkit_2d,logreg_l1_c1,10,0.8026315789473685,0.78,0.4827586206896552,0.8396428571428571
rdkit_2d,logreg_l2_c1,10,0.793859649122807,0.775,0.47191011235955055,0.8394642857142858
rdkit_2d_preprocessed,logreg_l1_c1,9,0.7807017543859649,0.7828571428571429,0.46808510638297873,0.8373214285714287
rdkit_2d_preprocessed,logreg_l2_c1,9,0.7807017543859649,0.7828571428571429,0.46808510638297873,0.8371428571428572
rdkit_2d,svm_linear,10,0.7807017543859649,0.7675000000000001,0.45652173913043476,0.8362500000000002
rdkit_2d_kbest,logreg_l1_c1,7,0.7719298245614035,0.7625,0.44680851063829785,0.83625
rdkit_2d_kbest,logreg_l2_c1,7,0.7719298245614035,0.7625,0.44680851063829785,0.8360714285714286
rdkit_2d_kbest,svm_linear,7,0.7543859649122807,0.7371428571428571,0.4166666666666667,0.8350000000000001
