feature_set,model,n_features,cv_accuracy,cv_balanced_accuracy,cv_f1,cv_roc_auc,cv_pr_auc,accuracy,balanced_accuracy,f1,roc_auc
combined,optuna_gradient_boosting,1034,,,,,,0.9567567567567568,0.7278622540250448,0.6,0.9132379248658318
combined,optuna_random_forest,1034,,,,,,0.9405405405405406,0.7191413237924866,0.5217391304347826,0.89087656529517
fingerprint,optuna_random_forest,1024,,,,,,0.9405405405405406,0.7902504472271914,0.5925925925925926,0.8761180679785331
combined,flaml_extra_tree,1034,,,,,,0.9297297297297298,0.5,0.0,0.8633720930232559
fingerprint,flaml_rf,1024,,,,,,0.9297297297297298,0.5,0.0,0.8613595706618963
fingerprint,optuna_gradient_boosting,1024,,,,,,0.9243243243243243,0.6748658318425761,0.4166666666666667,0.8275939177101967
fingerprint,random_forest_500,1024,0.9457069314212172,0.6643476521331824,0.4619047619047619,0.9488813966196964,0.7201203880302677,,,,
combined,logreg_l2_c01,1241,0.9511215296929584,0.7842996408915258,0.6381780538302276,0.9314139896170812,0.6875534841868983,,,,
combined,logreg_l2_c1,1241,0.9538426181283326,0.7866739529255631,0.6422360248447204,0.9301079277099028,0.6870285963661579,,,,
rdkit_2d_preprocessed,random_forest_200,152,0.9484372127229268,0.665807506147781,0.4798717948717949,0.9257865256255122,0.7111189066786752,,,,
rdkit_2d,random_forest_200,217,0.9497793712079426,0.6748984152386901,0.5040476190476191,0.92501971193255,0.7053433823179864,,,,
fingerprint,logreg_l2_c01,1024,0.9524820739106454,0.7608557125570865,0.6238665290677673,0.9237064288223584,0.6591647019351978,,,,
combined,random_forest_200,1241,0.9497793712079426,0.6832593973222998,0.5173809523809524,0.9232231937234084,0.6965322893524534,,,,
combined,gradient_boosting_lr005,1241,0.9456977385548816,0.7135937195050548,0.5343137254901961,0.922618564346774,0.6496957990752075,,,,
fingerprint,logreg_l2_c1,1024,0.953851810994668,0.7699519887583434,0.6370760233918128,0.9186644677778212,0.6622191740233747,,,,
rdkit_2d_preprocessed,svm_rbf,152,0.9429858429858432,0.8244361606620088,0.6404986318029795,0.9173373277645498,0.7614405165936867,,,,
fingerprint,random_forest_200,1024,0.9457161242875528,0.7748371325969007,0.6050459482038428,0.9165377259065538,0.6284606078576834,,,,
rdkit_2d,svm_rbf,217,0.94434638720353,0.8335324368632655,0.6552979066022544,0.9101760412194076,0.7526760046046147,,,,
rdkit_2d,gradient_boosting_lr01,217,0.9565637065637066,0.7779653772590656,0.6480827067669173,0.909312424372536,0.7406500384503396,,,,
rdkit_2d_preprocessed,gradient_boosting_lr005,152,0.9497517926089356,0.7241444826105624,0.5609803921568628,0.9090538272375972,0.7303646102937582,,,,
rdkit_2d_kbest,svm_rbf,10,0.9294079794079794,0.848719700222491,0.6045759342550947,0.9067004957258284,0.630374444189889,,,,
rdkit_2d_kbest,logreg_l2_c1,10,0.8574921860636145,0.8117175728951167,0.4393454942952791,0.8881382957960888,0.5750183377548093,,,,
rdkit_2d_kbest,logreg_l1_c1,10,0.8588435374149659,0.812447499902416,0.4415406162464986,0.8874054412740543,0.587512058446833,,,,
rdkit_2d,logreg_l1_c1,217,0.94434638720353,0.8158852804559118,0.6355415019762846,0.8837442913462665,0.7052303661827181,,,,
rdkit_2d_kbest,mlp_small,10,0.9443739658025372,0.6970562863499746,0.5183006535947713,0.8822910730317343,0.6259733197206891,,,,
rdkit_2d,logreg_l2_c01,217,0.9389317889317887,0.8389415082555916,0.634981684981685,0.8771562121862679,0.674076073939775,,,,
rdkit_2d_preprocessed,logreg_l1_c1,152,0.9484280198565912,0.8180804285881573,0.6510129870129869,0.8747390608532729,0.7052590571823799,,,,
rdkit_2d_kbest,svm_linear,10,0.866988416988417,0.7983191186228971,0.4401147576147576,0.8737103321753386,0.531958376411795,,,,
rdkit_2d,logreg_l2_c1,217,0.9470858613715756,0.8248077598657246,0.6514485514485514,0.8724840938366057,0.6583660148964284,,,,
rdkit_2d_preprocessed,logreg_l2_c1,152,0.9471042471042472,0.8257222178851634,0.6537391304347826,0.8675555251961434,0.67552328968038,,,,
rdkit_2d,mlp_small,217,0.966087516087516,0.8368771224481829,0.7473684210526315,0.8662127717709514,0.6841417660195531,,,,
rdkit_2d,svm_linear,217,0.94301342158485,0.7900777743081306,0.605381961034135,0.8408846949529647,0.6016880802259229,,,,
