feature_set,model,n_features,accuracy,balanced_accuracy,f1,roc_auc
fingerprint,random_forest,1024,0.9298245614035088,0.7910714285714285,0.68,0.9464285714285714
combined,random_forest,1034,0.9342105263157895,0.7935714285714286,0.6938775510204082,0.9417857142857142
combined,gradient_boosting,1034,0.9210526315789473,0.7246428571428571,0.5909090909090909,0.9333928571428571
fingerprint,gradient_boosting,1024,0.9035087719298246,0.6839285714285714,0.5,0.9076785714285713
rdkit_2d_kbest,gradient_boosting,7,0.8947368421052632,0.6635714285714286,0.45454545454545453,0.8942857142857142
combined,logistic_regression,1034,0.9429824561403509,0.86,0.7636363636363637,0.8941071428571428
fingerprint,logistic_regression,1024,0.9166666666666666,0.8142857142857143,0.6666666666666666,0.89375
rdkit_2d,gradient_boosting,10,0.9122807017543859,0.7042857142857143,0.5454545454545454,0.8895535714285714
rdkit_2d_preprocessed,gradient_boosting,9,0.9078947368421053,0.7017857142857142,0.5333333333333333,0.8849999999999999
rdkit_2d_preprocessed,random_forest,9,0.9166666666666666,0.7221428571428572,0.5777777777777777,0.8767857142857143
rdkit_2d_kbest,random_forest,7,0.9210526315789473,0.7553571428571428,0.625,0.8755357142857143
rdkit_2d,random_forest,10,0.9166666666666666,0.7067857142857142,0.5581395348837209,0.8674107142857144
rdkit_2d,logistic_regression,10,0.793859649122807,0.775,0.47191011235955055,0.8394642857142858
rdkit_2d_preprocessed,logistic_regression,9,0.7807017543859649,0.7828571428571429,0.46808510638297873,0.8371428571428572
rdkit_2d_kbest,logistic_regression,7,0.7719298245614035,0.7625,0.44680851063829785,0.8360714285714286
